Mach,Altitude_m_AGL,Cd
0.99,0.0,0.7113815939059352
1.0,0.0,0.7231111159048274
1.01,0.0,0.7348406379037195
1.02,0.0,0.7465701589448493
1.03,0.0,0.7582996809437414
1.04,0.0,0.7700292029426336
1.05,0.0,0.7817587249415257
1.06,0.0,0.7804649749853155
1.07,0.0,0.7791942812383258
1.08,0.0,0.777946254849107
1.09,0.0,0.7767205835871847
1.1,0.0,0.7755171563521448
1.11,0.0,0.7743353812469534
1.12,0.0,0.7731751500444831
1.13,0.0,0.7720361495564974
1.14,0.0,0.770917967945254
1.15,0.0,0.7698204098272663
1.16,0.0,0.7681657109074774
1.17,0.0,0.7665471205800458
1.18,0.0,0.7649980657031942
1.19,0.0,0.763261288479174
1.2,0.0,0.7609491222103304
1.21,0.0,0.7586864894864731
1.22,0.0,0.7564712075675694
1.23,0.0,0.7543018005420828
1.24,0.0,0.7521769122187513
1.25,0.0,0.7500956279346827
1.26,0.0,0.74805696981468
1.27,0.0,0.746060275087307
1.28,0.0,0.7441047440211346
1.29,0.0,0.7421898747487747
1.3,0.0,0.7403150926129128
1.31,0.0,0.7384796888695276
1.32,0.0,0.7366834662196081
1.33,0.0,0.7349257657227665
1.34,0.0,0.7332062358802791
1.35,0.0,0.7315245022071292
1.36,0.0,0.729880119343898
1.37,0.0,0.7282727808066844
1.38,0.0,0.7267021341390023
1.39,0.0,0.7251678383775116
1.4,0.0,0.7236695640520189
1.41,0.0,0.7222070171295314
1.42,0.0,0.7207799189012516
1.43,0.0,0.7193880040670527
1.44,0.0,0.7180309757206553
1.45,0.0,0.7167085982525608
1.46,0.0,0.7154206101936909
1.47,0.0,0.7141667941320282
1.48,0.0,0.712946914458074
1.49,0.0,0.7117607604641462
1.5,0.0,0.7106081051606054
1.51,0.0,0.7094887206000504
1.52,0.0,0.70840247078025
1.53,0.0,0.7073491200917053
1.54,0.0,0.7063285124191792
1.55,0.0,0.7053404878163857
1.56,0.0,0.7043848508998379
1.57,0.0,0.7034614637517805
1.58,0.0,0.7025701501439702
1.59,0.0,0.7017107798207491
1.6,0.0,0.7008832388084165
1.61,0.0,0.700087359498589
1.62,0.0,0.6993230192977062
1.63,0.0,0.698590107105354
1.64,0.0,0.6978885108633559
1.65,0.0,0.6972181041471027
1.66,0.0,0.6965787959691865
1.67,0.0,0.6956311257185422
1.68,0.0,0.6940292378059568
1.69,0.0,0.6924484436478627
1.7,0.0,0.6908884530423159
1.71,0.0,0.6893489623787021
1.72,0.0,0.6878296766662666
1.73,0.0,0.6863303641265589
1.74,0.0,0.6848507201912026
1.75,0.0,0.6833905446878996
1.76,0.0,0.6819495799786206
1.77,0.0,0.6805275780029584
1.78,0.0,0.6791243615749073
1.79,0.0,0.6777396720986761
1.8,0.0,0.6763733343037838
1.81,0.0,0.6751344746564935
1.82,0.0,0.673879073498405
1.83,0.0,0.6726292235299747
1.84,0.0,0.671384781086874
1.85,0.0,0.6701455536589024
1.86,0.0,0.6689113631022925
1.87,0.0,0.6676820935278192
1.88,0.0,0.6664575677494771
1.89,0.0,0.6652376478495109
1.9,0.0,0.6640221997412137
1.91,0.0,0.6628110778447325
1.92,0.0,0.6616041519044095
1.93,0.0,0.6604013108198304
1.94,0.0,0.6592024243353374
1.95,0.0,0.6580073765617054
1.96,0.0,0.656816066933904
1.97,0.0,0.6556283479565563
1.98,0.0,0.6544441765303636
1.99,0.0,0.6532634032444239
2.0,0.0,0.6520859438156645
0.01,30.48,0.48960749999336
0.02,30.48,0.5316989586896548
0.03,30.48,0.5407744918621229
0.04,30.48,0.542865000919071
0.05,30.48,0.5427494261884028
0.06,30.48,0.5418142426953748
0.07,30.48,0.5405665306020122
0.08,30.48,0.5392178622810513
0.09,30.48,0.5378632675657737
0.1,30.48,0.5365467148126586
0.11,30.48,0.5352881349534393
0.12,30.48,0.5340955965678883
0.13,30.48,0.532971146208182
0.14,30.48,0.5319138514498473
0.15,30.48,0.5309212229586249
0.16,30.48,0.5299901574346024
0.17,30.48,0.5291172857173507
0.18,30.48,0.5282993180220632
0.19,30.48,0.5275330764548692
0.2,30.48,0.5268155782137885
0.21,30.48,0.5261441073136895
0.22,30.48,0.5255161667696504
0.23,30.48,0.5249294661646327
0.24,30.48,0.5243819713787861
0.25,30.48,0.5238718261701599
0.26,30.48,0.5237997884898812
0.27,30.48,0.5237617886063617
0.28,30.48,0.523756789854854
0.29,30.48,0.5237833089631967
0.3,30.48,0.5238405655638309
0.31,30.48,0.5239273374634473
0.32,30.48,0.5240429504474271
0.33,30.48,0.5241868154147701
0.34,30.48,0.5243580372379821
0.35,30.48,0.5245563634452061
0.36,30.48,0.524781064354521
0.37,30.48,0.5250320577213067
0.38,30.48,0.5253087554008956
0.39,30.48,0.5256112635462278
0.4,30.48,0.5259391250302282
0.41,30.48,0.5262924220975171
0.42,30.48,0.5266713221063333
0.43,30.48,0.5270755764101507
0.44,30.48,0.5275056201403898
0.45,30.48,0.5279613720087633
0.46,30.48,0.5284433991206173
0.47,30.48,0.5289517445109276
0.48,30.48,0.5294871407306133
0.49,30.48,0.5300497790462328
0.5,30.48,0.5306403881833746
0.51,30.48,0.5312597925009057
0.52,30.48,0.5319084185232518
0.53,30.48,0.5325874320200871
0.54,30.48,0.5332974574767253
0.55,30.48,0.5340398700997226
0.56,30.48,0.5348155353702562
0.57,30.48,0.5356260474950915
0.58,30.48,0.53647255407358
0.59,30.48,0.5373569438629874
0.6,30.48,0.5382806532751682
0.61,30.48,0.5399738376157152
0.62,30.48,0.5416846261303108
0.63,30.48,0.5434413654792649
0.64,30.48,0.5452465316081777
0.65,30.48,0.5471033712668805
0.66,30.48,0.54901478023107
0.67,30.48,0.550984716762175
0.68,30.48,0.5530168531781199
0.69,30.48,0.5551160390424964
0.7,30.48,0.5572871277442278
0.71,30.48,0.5578379936031689
0.72,30.48,0.5582883613179194
0.73,30.48,0.5587420542017901
0.74,30.48,0.5591992319623577
0.75,30.48,0.5596595914421265
0.76,30.48,0.5601232990430028
0.77,30.48,0.5605901214197851
0.78,30.48,0.5610598261836048
0.79,30.48,0.5615326256403417
0.8,30.48,0.5620081458638739
0.81,30.48,0.5666296307791173
0.82,30.48,0.5712537178758895
0.83,30.48,0.5758806271107334
0.84,30.48,0.5805098697975913
0.85,30.48,0.5851418963692091
0.86,30.48,0.5897763893230992
0.87,30.48,0.5944131325280506
0.88,30.48,0.5990522856916398
0.89,30.48,0.6036936728486328
0.9,30.48,0.6083374556192717
0.91,30.48,0.6124741505772227
0.92,30.48,0.624884234494743
0.93,30.48,0.640047805177778
0.94,30.48,0.6517598216239004
0.95,30.48,0.6634718380700229
0.96,30.48,0.6751838545161454
0.97,30.48,0.686895870005935
0.98,30.48,0.6986078864520574
0.99,30.48,0.7103199028981799
1.0,30.48,0.7220319193443023
1.01,30.48,0.7337439357904247
1.02,30.48,0.7454559512802145
1.03,30.48,0.7571679677263369
1.04,30.48,0.7688799841724593
1.05,30.48,0.7805920006185817
1.06,30.48,0.7793001815004852
1.07,30.48,0.7780313841817083
1.08,30.48,0.7767852203911372
1.09,30.48,0.7755613783642814
1.1,30.48,0.7743597471665369
1.11,30.48,0.7731797357842379
1.12,30.48,0.772021236151779
1.13,30.48,0.7708839355483365
1.14,30.48,0.7697674227508098
1.15,30.48,0.7686715026673092
1.16,30.48,0.7670192732786114
1.17,30.48,0.7654030985925325
1.18,30.48,0.7638563555798722
1.19,30.48,0.7621221703835022
1.2,30.48,0.7598134548732347
